"Id","Name","Vendor","Category","Version","Build","ReleaseDate","SourceType","SourceUrl","InstallMethod","PackageManager","UpgradeMethod","UpgradePath","RequiresReboot","Notes","ImportStatus"
"notepadpp","Notepad++","Don Ho","Text Editor","8.6.3","","1/15/2025","website","https://notepad-plus-plus.org/downloads/","manual","","in-place","Download installer → run over existing install","FALSE","Initial tracking entry","Skipped (Exists)"
"powershell","PowerShell","Microsoft","Shell / Automation","7.4.3","","2/1/2026","github","https://github.com/PowerShell/PowerShell/releases","package_manager","winget","in-place","winget upgrade Microsoft.PowerShell","FALSE","Initial tracking entry","Skipped (Exists)"
"7zip","7-Zip","Igor Pavlov","Compression","24.09","","11/29/2024","website","https://www.7-zip.org/","manual","","in-place","Run installer","FALSE","","Skipped (Exists)"
"vscode","Visual Studio Code","Microsoft","IDE","1.96.4","","1/24/2025","github","https://github.com/microsoft/vscode/releases","package_manager","winget","in-place","winget upgrade Microsoft.VisualStudioCode","FALSE","","Skipped (Exists)"
"o365","Office 365","Microsoft","Productivity","2601","19268.2015","1/27/2026","website","https://learn.microsoft.com/en-us/officeupdates/update-history-microsoft365-apps-by-date","automox/windows updates/microsoft updates/ODT","ODT","in-place","ODT","FALSE","Initial tracking entry","Skipped (Exists)"
"w11","Windows 11 Enterprise","Microsoft","OS","25H2","26200.7323","1/13/2026","website","https://learn.microsoft.com/en-us/windows/whats-new/whats-new-windows-11-version-25h2","automox/windows updates","windows udpate","in-place","Windows Update","TRUE","Initial tracking entry","Skipped (Exists)"
"greenshot","Greenshot","Greenshot","Screenshot","1.3.312","","1/7/2026","github","https://github.com/greenshot/greenshot","manual","ninite/choco","in-place","Choco","FALSE","Initial tracking entry","Added"
"everything","Search Everything","voidtools","Searching","1.4.1.1030","","1/1/2024","website","https://www.voidtools.com/support/everything/previous_versions/","manual","ninite/choco","in-place","Ninite","FALSE","Initial tracking entry","Added"
"powertoys","PowerToys","Microsoft","Productivity","0.97.1","","1/28/2026","github","https://github.com/microsoft/PowerToys/releases","manual","choco","in-place","Choco","TRUE","Initial tracking entry","Added"
"3dclipboard","3D Clipboard","3D Clipboard","Productivity","1.5.1.28","","10/22/2012","website","https://www.3dclipboard.com/","manual","n/a","in-place","n/a","FALSE","Initial tracking entry","Added"
